Zone,Nom,Catégorie,Statut,Adresse,Latitude,Longitude,Image
Arrondissement d'Al Fida,Argana,Café,Formel,Rue 60,33.5647444,-7.5915889,icons/cafe.png
Arrondissement d'Al Fida,Espace Al Fath,Restaurant,Formel,Rue 8,33.5698484,-7.5946172,icons/restaurant.png
Arrondissement d'Al Fida,La Qualité,Café,Formel,Rue 42,33.5655066,-7.5923198,icons/cafe.png
Arrondissement d'Al Fida,Argana,Café,Formel,Rue 55,33.5651087,-7.5919417,icons/cafe.png
Arrondissement d'Al Fida,Pharmacie El Farraj,Parapharmacie,Formel,Boulevard Abdellah Senhaji,33.5673526,-7.5904222,icons/pharmacy.png
Arrondissement de Mers Sultan,Pharmacie de Casablanca,Parapharmacie,Formel,Boulevard de la Croix,33.5749186,-7.5907414,icons/pharmacy.png
Mers Sultan,Pharmacie Laafou,Parapharmacie,Formel,Rue 34,33.5753387,-7.5931285,icons/pharmacy.png
Arrondissement de Mers Sultan,Golden Space,Café,Formel,Boulevard de la Gironde,33.5832101,-7.5988175,icons/cafe.png
Arrondissement de Mers Sultan,Cafe du Pont,Café,Formel,Boulevard de la Gironde,33.5826297,-7.5984453,icons/cafe.png
Mers Sultan,Pharmacie Albahia,Parapharmacie,Formel,Boulevard Ahmed Sebbagh,33.5744839,-7.5962278,icons/pharmacy.png
Arrondissement d'Al Fida,Café Sbaï,Café,Formel,Boulevard Abdellah Senhaji,33.5667425,-7.5894016,icons/cafe.png
Préfecture d'arrondissements de Ben M'sick,Café Aswan,Restaurant,Formel,Boulevard du Golan شارع الجولان,33.5500951,-7.5677656,icons/restaurant.png
Arrondissement de Sidi Othmane,Parapharmacie sans nom,Parapharmacie,Formel,Avenue Abdelkader Sahraoui,33.5530547,-7.5499651,icons/pharmacy.png
Préfecture d'arrondissements de Ben M'sick,Pharmacie Bouafi,Parapharmacie,Formel,Avenue d'Oued Eddahab,33.5443679,-7.5671098,icons/pharmacy.png
Préfecture d'arrondissements de Ben M'sick,Cafe Zodiaque,Café,Formel,Avenue d'Oued Eddahab,33.5418954,-7.5712685,icons/cafe.png
Préfecture d'arrondissements de Ben M'sick,Rainbow Cafe,Restaurant,Formel,Avenue d'Oued Eddahab,33.5401886,-7.5741479,icons/restaurant.png
Préfecture d'arrondissements de Ben M'sick,Pharmacie Skiba,Parapharmacie,Formel,Avenue d'Oued Eddahab,33.5396252,-7.5750652,icons/pharmacy.png
Préfecture d'arrondissements de Ben M'sick,Espace Changuai,Restaurant,Formel,Avenue Mekdad Lahrizi,33.5372811,-7.5734632,icons/restaurant.png
Préfecture d'arrondissements de Ben M'sick,Ramada,Restaurant,Formel,Rue 188,33.539538,-7.573873,icons/restaurant.png
Préfecture d'arrondissements de Ben M'sick,Parmacie Bouafi,Parapharmacie,Formel,Avenue d'Oued Eddahab,33.5443646,-7.5671084,icons/pharmacy.png
Préfecture d'arrondissements de Ben M'sick,Pharmacie Ennajah,Parapharmacie,Formel,Avenue de Dakhla,33.5483839,-7.568998,icons/pharmacy.png
Préfecture d'arrondissements de Ben M'sick,Cafe La Liga,Café,Formel,Avenue de Dakhla,33.5468661,-7.57153,icons/cafe.png
Préfecture d'arrondissements de Ben M'sick,Nescafe,Café,Formel,Avenue de Dakhla,33.5468069,-7.5716347,icons/cafe.png
Préfecture d'arrondissements de Ben M'sick,Pharmacie Dadi,Parapharmacie,Formel,Avenue de Dakhla,33.5464671,-7.5721396,icons/pharmacy.png
Préfecture d'arrondissements de Ben M'sick,Pharmacie Faouz,Parapharmacie,Formel,Avenue de Dakhla,33.5439153,-7.5765418,icons/pharmacy.png
Préfecture d'arrondissements de Ben M'sick,Pharmacie Dounia,Parapharmacie,Formel,Rue 145,33.5419122,-7.5725761,icons/pharmacy.png
Préfecture d'arrondissements de Ben M'sick,Pharmacie Addahab,Parapharmacie,Formel,Rue 70,33.54397,-7.5696833,icons/pharmacy.png
Préfecture d'arrondissements de Ben M'sick,Pharmacie Dispensaire Jamila 4,Parapharmacie,Formel,Rue 89,33.5466604,-7.5665988,icons/pharmacy.png
Préfecture d'arrondissements de Ben M'sick,Golden Cup,Café,Formel,Rue 145,33.5430099,-7.5732386,icons/cafe.png
Préfecture d'arrondissements de Ben M'sick,Pharmacie Benmoussa,Parapharmacie,Formel,Avenue du Commandant Driss Harti,33.5435352,-7.5805342,icons/pharmacy.png
Préfecture d'arrondissements de Ben M'sick,Pharmacie Sbata,Parapharmacie,Formel,Avenue de Saquia-el-Hamra,33.5441768,-7.5730133,icons/pharmacy.png
Préfecture d'arrondissements de Ben M'sick,Pharmacie Rachid,Parapharmacie,Formel,Avenue de Saquia-el-Hamra,33.5463631,-7.5694031,icons/pharmacy.png
Préfecture d'arrondissements de Ben M'sick,Pharmacie Jamila,Parapharmacie,Formel,Avenue du Commandant Driss Harti,33.545992,-7.5764371,icons/pharmacy.png
Préfecture d'arrondissements de Ben M'sick,Pharmacie Marche de Gros,Parapharmacie,Formel,Avenue du Commandant Driss Harti,33.548802,-7.5717339,icons/pharmacy.png
Préfecture d'arrondissements de Ben M'sick,Café Anas,Café,Formel,Avenue du 6 Novembre 1975,33.5466593,-7.5770688,icons/cafe.png
Préfecture d'arrondissements de Ben M'sick,Verona Cafe,Café,Formel,Avenue 6 Novembre 1975,33.5522891,-7.5823005,icons/cafe.png
Assoukhour Assawda,Pharmacie Al Bouchra,Parapharmacie,Formel,Avenue de l'Ambassadeur Ben Aicha,33.601196,-7.5855754,icons/pharmacy.png
Assoukhour Assawda,Pharmacie Massiwe,Parapharmacie,Formel,Avenue de l'Ambassadeur Ben Aicha,33.59964,-7.5891964,icons/pharmacy.png
Assoukhour Assawda,Para Pharmacie,Parapharmacie,Formel,Avenue de l'Ambassadeur Ben Aicha,33.602561,-7.5822602,icons/pharmacy.png
Préfecture d'arrondissements de Ben M'sick,Pharmacie El Mansour,Parapharmacie,Formel,Boulevard du Golan,33.558094,-7.573944,icons/pharmacy.png
Préfecture d'arrondissements de Ben M'sick,Pharmcie Sif Eddinne,Parapharmacie,Formel,Boulevard de l'Unité Africaine,33.5566724,-7.5877748,icons/pharmacy.png
Préfecture d'arrondissements de Ben M'sick,Pharmacie du Metro,Parapharmacie,Formel,Boulevard de l'Unité Africaine,33.5567138,-7.5911842,icons/pharmacy.png
Préfecture d'arrondissements de Ben M'sick,Pharmacie Afriquia,Parapharmacie,Formel,Boulevard Mohammed VI,33.5548206,-7.5919738,icons/pharmacy.png
Préfecture d'arrondissements de Ben M'sick,Café Agadir,Restaurant,Formel,Avenue du Commandant Driss Harti,33.5488254,-7.572265,icons/restaurant.png
Arrondissement d'Aïn Sebaâ,Pharmacie Moulay Slimane,Parapharmacie,Formel,Route de Zenata,33.6177743,-7.5463294,icons/pharmacy.png
Préfecture d'arrondissements de Ben M'sick,Parapharmacie sans nom,Parapharmacie,Formel,Avenue Réda Guédira,33.5523159,-7.5786996,icons/pharmacy.png
Préfecture d'arrondissements de Ben M'sick,Cafe Rania,Café,Formel,Avenue Lahraouine,33.550901,-7.57429,icons/cafe.png
Arrondissement d'Aïn Sebaâ,Pharmacie Zenata,Parapharmacie,Formel,Route de Zenata,33.6188677,-7.5392269,icons/pharmacy.png
Préfecture d'arrondissements de Ben M'sick,Pharmacie Du Uban,Parapharmacie,Formel,Avenue du 6 Novembre 1975,33.5520812,-7.5815776,icons/pharmacy.png
Préfecture d'arrondissements de Ben M'sick,Pharmacie Oued Zem,Parapharmacie,Formel,Boulevard de Oued Zem,33.5547747,-7.584579,icons/pharmacy.png
Arrondissement d'Aïn Sebaâ,Pharmacie Lesperance,Parapharmacie,Formel,Boulevard de Madrid,33.6164096,-7.5248878,icons/pharmacy.png
Assoukhour Assawda,La Revanche,Restaurant,Formel,Rue de Dax,33.5995316,-7.5874275,icons/restaurant.png
Assoukhour Assawda,Moody's,Café,Formel,Boulevard Moulay Ismail,33.598514,-7.5804283,icons/cafe.png
Sidi Bernoussi,Pharmacie Moubaraka,Parapharmacie,Formel,Route de Rabat,33.6154659,-7.5031149,icons/pharmacy.png
Arrondissement d'Aïn Sebaâ,Pharmacie de la Gabe Ain Sebaa,Parapharmacie,Formel,Route de Rabat,33.6075583,-7.5235748,icons/pharmacy.png
